Crowded,Subject,Threshold,DiffusionConstant,Span,Area,Curvature,Speed,Size,Performance,Response,Answer,Correct,ResponseTime,TrialCurvature,TrialSpeed,TrialSpan,individualDiffusionConstant
0,1,1.3879252238668498,11.123342514038086,3.1320552825927734,136.85760498046875,11.986981391906738,40.59310646812514,0.5052727628491334,0.13513513513513514,1,1,1,2031.509033203125,15.489514350891113,NA,2.5467629432678223,6.756528854370117
0,1,1.3879252238668498,11.123342514038086,3.1320552825927734,136.85760498046875,11.986981391906738,40.59310646812514,0.5052727628491334,0.13513513513513514,4,4,1,1536.96630859375,16.082332611083984,33.63288116455078,3.025106430053711,7.749607563018799
0,1,1.3879252238668498,11.123342514038086,3.1320552825927734,136.85760498046875,11.986981391906738,40.59310646812514,0.5052727628491334,0.13513513513513514,1,4,0,2203.117431640625,14.643234252929688,38.52621841430664,2.2464113235473633,7.632215976715088
0,1,1.3879252238668498,11.123342514038086,3.1320552825927734,136.85760498046875,11.986981391906738,40.59310646812514,0.5052727628491334,0.13513513513513514,4,2,0,2266.38916015625,14.099198341369629,43.46889877319336,2.8951261043548584,7.442752838134766
0,1,1.3879252238668498,11.123342514038086,3.1320552825927734,136.85760498046875,11.986981391906738,40.59310646812514,0.5052727628491334,0.13513513513513514,3,2,0,2384.905029296875,14.149322509765625,39.76970291137695,2.1327617168426514,3.8816072940826416
0,1,1.3879252238668498,11.123342514038086,3.1320552825927734,136.85760498046875,11.986981391906738,40.59310646812514,0.5052727628491334,0.13513513513513514,1,4,0,1739.2830810546875,14.268527030944824,NA,3.1045589447021484,10.658429145812988
0,1,1.3879252238668498,11.123342514038086,3.1320552825927734,136.85760498046875,11.986981391906738,40.59310646812514,0.5052727628491334,0.13513513513513514,2,4,0,2029.4722900390625,11.26301097869873,42.720726013183594,3.646103858947754,12.944993019104004
0,1,1.3879252238668498,11.123342514038086,3.1320552825927734,136.85760498046875,11.986981391906738,40.59310646812514,0.5052727628491334,0.13513513513513514,3,1,0,1689.26220703125,13.777631759643555,40.46039581298828,2.8798727989196777,10.748604774475098
0,1,1.3879252238668498,11.123342514038086,3.1320552825927734,136.85760498046875,11.986981391906738,40.59310646812514,0.5052727628491334,0.13513513513513514,3,2,0,1552.750732421875,9.908774375915527,NA,2.801619291305542,9.967452049255371
0,1,1.3879252238668498,11.123342514038086,3.1320552825927734,136.85760498046875,11.986981391906738,40.59310646812514,0.5052727628491334,0.13513513513513514,4,1,0,1162.0870361328125,10.791476249694824,44.56755065917969,3.58648419380188,19.174291610717773
0,1,1.3879252238668498,11.123342514038086,3.1320552825927734,136.85760498046875,11.986981391906738,40.59310646812514,0.5052727628491334,0.13513513513513514,3,2,0,1135.929443359375,12.179728507995605,37.96022415161133,2.1890645027160645,6.477081298828125
0,1,1.3879252238668498,11.123342514038086,3.1320552825927734,136.85760498046875,11.986981391906738,40.59310646812514,0.5052727628491334,0.13513513513513514,4,1,0,2579.1826171875,10.793668746948242,NA,3.8715944290161133,16.231721878051758
0,1,1.3879252238668498,11.123342514038086,3.1320552825927734,136.85760498046875,11.986981391906738,40.59310646812514,0.5052727628491334,0.13513513513513514,3,3,1,1808.87646484375,12.911468505859375,34.14253234863281,3.566362142562866,7.589581489562988
0,1,1.3879252238668498,11.123342514038086,3.1320552825927734,136.85760498046875,11.986981391906738,40.59310646812514,0.5052727628491334,0.13513513513513514,1,2,0,1035.89990234375,11.920148849487305,33.473907470703125,2.965597152709961,6.21367883682251
0,1,1.3879252238668498,11.123342514038086,3.1320552825927734,136.85760498046875,11.986981391906738,40.59310646812514,0.5052727628491334,0.13513513513513514,3,2,0,1186.226806640625,10.62470531463623,NA,2.416064977645874,4.309053897857666
0,1,1.3879252238668498,11.123342514038086,3.1320552825927734,136.85760498046875,11.986981391906738,40.59310646812514,0.5052727628491334,0.13513513513513514,4,1,0,1082.271240234375,11.537535667419434,31.367767333984375,2.5124731063842773,8.48028564453125
0,1,1.3879252238668498,11.123342514038086,3.1320552825927734,136.85760498046875,11.986981391906738,40.59310646812514,0.5052727628491334,0.13513513513513514,2,2,1,1274.3260498046875,14.11313247680664,37.117000579833984,1.8102517127990723,4.378826141357422
0,1,1.3879252238668498,11.123342514038086,3.1320552825927734,136.85760498046875,11.986981391906738,40.59310646812514,0.5052727628491334,0.13513513513513514,3,2,0,1292.95068359375,14.904067993164062,35.016357421875,2.9211788177490234,6.347682952880859
0,1,1.3879252238668498,11.123342514038086,3.1320552825927734,136.85760498046875,11.986981391906738,40.59310646812514,0.5052727628491334,0.13513513513513514,4,3,0,1653.6875,9.095553398132324,42.37974548339844,2.550968647003174,8.5375394821167
0,1,1.3879252238668498,11.123342514038086,3.1320552825927734,136.85760498046875,11.986981391906738,40.59310646812514,0.5052727628491334,0.13513513513513514,3,4,0,1158.9012451171875,9.938201904296875,NA,2.9575400352478027,13.75415325164795
0,1,1.3879252238668498,11.123342514038086,3.1320552825927734,136.85760498046875,11.986981391906738,40.59310646812514,1.0105455256982667,0.3181818181818182,4,3,0,1849.4195556640625,9.452616691589355,57.016971588134766,5.486644268035889,45.79402160644531
0,1,1.3879252238668498,11.123342514038086,3.1320552825927734,136.85760498046875,11.986981391906738,40.59310646812514,1.0105455256982667,0.3181818181818182,1,4,0,1288.012939453125,14.155806541442871,47.57332992553711,5.317933082580566,17.1938419342041
0,1,1.3879252238668498,11.123342514038086,3.1320552825927734,136.85760498046875,11.986981391906738,40.59310646812514,1.0105455256982667,0.3181818181818182,1,4,0,1405.8701171875,10.564620971679688,48.417850494384766,3.2369768619537354,8.932414054870605
